Support / Oppose,Candidate,Amount,Purchase,Name,Office,Date,Aggregate Amount
Oppose,"Clinton, Hillary","$500,000.00",Media,Make America Number 1,Presidential,2016-11-01,"$4,142,456.50"
Oppose,"Clinton, Hillary","$500,000.00",Media,Make America Number 1,Presidential,2016-10-28,"$4,142,456.50"
Support,"Ward, Kelli","$450,000.00","Analytics, Tv Media Purchase",KelliPAC,State,2016-08-10,"$710,303.09"
Oppose,"Clinton, Hillary","$400,000.00",Media,Make America Number 1,Presidential,2016-10-17,"$2,689,166.50"
Oppose,"Clinton, Hillary","$300,000.00",Media,Make America Number 1,Presidential,2016-11-01,"$4,142,456.50"
Support,"Maness, Robert L Col. Ret","$280,000.00",Advertising Purchase,Warrior PAC,State,2016-10-12,"$280,000.00"
Oppose,"Clinton, Hillary Rodham","$256,157.00",Media,Make America Number 1,Presidential,2016-07-26,"$285,657.00"
Oppose,"Clinton, Hillary","$250,000.00",Media,Make America Number 1,Presidential,2016-10-19,"$2,689,166.50"
Oppose,"Clinton, Hillary","$250,000.00",Media,Make America Number 1,Presidential,2016-10-17,"$1,789,166.50"
Oppose,"Clinton, Hillary","$200,000.00",Media,Make America Number 1,Presidential,2016-09-13,"$500,094.50"
Oppose,"Clinton, Hillary","$200,000.00",Media,Make America Number 1,Presidential,2016-10-19,"$2,689,166.50"
Oppose,"Clinton, Hillary","$200,000.00",Media,Make America Number 1,Presidential,2016-10-06,"$1,498,666.50"
Support,"Maness, Robert L Col. Ret","$200,000.00",Television Advertising,Warrior PAC,State,2016-09-06,"$308,662.38"
Support,"Maness, Robert L Col. Ret","$200,000.00",Television Advertising,Warrior PAC,State,2016-09-06,"$308,662.38"
Support,"Maness, Robert L Col. Ret","$200,000.00",Advertising Purchase,Warrior PAC,State,2016-10-12,"$200,000.00"
Oppose,"Clinton, Hillary","$190,000.00",Media,Make America Number 1,Presidential,2016-10-05,"$1,498,666.50"
Oppose,"Clinton, Hillary","$111,072.00",Media,Make America Number 1,Presidential,2016-10-06,"$1,498,666.50"
Oppose,"Clinton, Hillary","$110,000.00",Media,Make America Number 1,Presidential,2016-08-26,"$809,094.50"
Oppose,"Clinton, Hillary","$100,000.00",Media,Make America Number 1,Presidential,2016-11-04,"$4,242,456.50"
Oppose,"Clinton, Hillary","$100,000.00",Media,Make America Number 1,Presidential,2016-09-16,"$809,094.50"
Oppose,"Clinton, Hillary","$75,000.00",Media,Make America Number 1,Presidential,2016-09-16,"$946,594.50"
Oppose,"Clinton, Hillary","$75,000.00",Media,Make America Number 1,Presidential,2016-09-16,"$809,094.50"
Oppose,"Clinton, Hillary","$16,500.00",Media,Make America Number 1,Presidential,2016-09-26,"$825,594.50"
