Support / Oppose,Candidate,Amount,Name,Purchase,Office,Date,Aggregate Amount
Oppose,"Strickland, Ted","$250,000.00",Google,IE-Strickland-Digital Ads-Estimated,State,2016-08-30,"$323,006.00"
Support,"Curbelo, Carlos","$106,250.00",Google,IE-Curbelo-Online Ads-Estimated,State,2016-09-27,"$106,250.00"
Support,"Curbelo, Carlos","$106,250.00",Google,IE-Curbelo-Online Ads-Estimated,State,2016-09-27,"$106,250.00"
Oppose,"Duckworth, Tammy","$106,250.00",Google,IE-Duckworth-Online Ads-Estimated,State,2016-09-28,"$130,000.00"
Oppose,"Duckworth, Tammy","$106,250.00",Google,IE-Duckworth-Online Ads-Estimated,State,2016-09-28,"$130,000.00"
Oppose,"Mcginty, Kathleen Alana","$106,250.00",Google,IE-McGinty-Online Ads-Estimated,State,2016-09-28,"$130,000.00"
Oppose,"Mcginty, Kathleen Alana","$106,250.00",Google,IE-McGinty-Online Ads-Estimated,State,2016-09-28,"$130,000.00"
Support,"Coffman, Michael","$86,400.00",Google,IE-Coffman-Online Ads-ESTIMATED,State,2016-10-28,"$124,897.52"
Oppose,"Teachout, Zephyr","$86,100.00",Google,IE-Teachout-Online Ads-Estimated,State,2016-10-31,"$144,800.00"
Support,"Katko, John M","$68,800.00",Google,IE-Katko-Online Ads-Estimated,State,2016-10-31,"$68,800.00"
Oppose,"Clinton, Hillary","$60,000.00",FACEBOOK,MEDIA BUY,Presidential,2015-04-12,"$116,500.00"
Oppose,"Clinton, Hillary","$60,000.00",FACEBOOK,MEDIA BUY,Presidential,2015-04-12,"$116,500.00"
Oppose,"Clinton, Hillary","$60,000.00",FACEBOOK,MEDIA BUY,Presidential,2015-06-03,"$227,496.59"
Oppose,"Clinton, Hillary","$54,980.31",FACEBOOK,MEDIA BUY,Presidential,2015-04-12,"$111,327.59"
Oppose,"Strickland, Ted","$54,421.02",Facebook,digital placement (Bruce's Story),State,2015-08-18,"$1,550,888.54"
Oppose,"Trump, Donald","$50,000.00",Facebook Inc.,Leadership Online Ad Placement,Presidential,2016-03-02,"$75,300.00"
Oppose,"Trump, Donald","$50,000.00",Google Inc./Google AdWords,Leadership Online Ad Placement,Presidential,2016-03-02,"$175,300.00"
Oppose,"Trump, Donald","$50,000.00",Facebook Inc.,Kids online ad placement,Presidential,2016-03-05,"$260,232.83"
Oppose,"Trump, Donald","$50,000.00",Google Inc./Google AdWords,Kids online ad placement,Presidential,2016-03-05,"$360,232.83"
Oppose,"Clinton, Hillary","$50,000.00",FACEBOOK,MEDIA BUY,Presidential,2015-04-12,"$106,500.00"
Oppose,"Clinton, Hillary","$50,000.00",FACEBOOK,MEDIA BUY,Presidential,2015-04-12,"$50,000.00"
Oppose,"Masto, Catherine Cortez","$42,500.00",Google,IE-Masto-Online Ads-Estimated,State,2016-09-28,"$55,000.00"
Oppose,"Masto, Catherine Cortez","$42,500.00",Google,IE-Masto-Online Ads-Estimated,State,2016-09-28,"$55,000.00"
Oppose,"Masto, Catherine Cortez","$42,500.00",Google,IE-Masto-Online Ads-Estimated,State,2016-10-08,"$107,250.00"
Support,"Portman, Rob","$42,500.00",Google,IE-Portman-Online Ads-Estimated,State,2016-09-27,"$365,506.00"
Support,"Portman, Rob","$42,500.00",Google,IE-Portman-Online Ads-Estimated,State,2016-09-27,"$365,506.00"
Oppose,"Trump, Donald","$35,571.12",Facebook Inc.,Kids Online Ad Placement (actual not estimated),Presidential,2016-03-05,"$237,406.05"
Oppose,"Trump, Donald","$35,571.12",Facebook Inc.,Kids Online Ad Placement (final total not estimated),Presidential,2016-03-05,"$226,473.29"
Support,"Cruz, Ted","$34,736.14",YouTube,Digital Media Production/Placement,Presidential,2016-01-26,"$254,449.35"
Oppose,"Trump, Donald","$31,826.05",Google Inc./Google AdWords,Leadership Online Ad Placement (actual not estimated),Presidential,2016-03-02,"$155,280.92"
Oppose,"Trump, Donald","$31,826.05",Google Inc./Google AdWords,Leadership Online Ad Placement,Presidential,2016-03-02,"$155,280.92"
Oppose,"Trump, Donald","$30,464.42",Facebook,Digital/online ad,Presidential,2016-09-15,"$55,464.42"
Support,"Cruz, Ted","$30,000.00",YouTube,Digital Media Production/Placement,Presidential,2016-01-21,"$69,992.76"
Oppose,"Mcginty, Kathleen Alana","$30,000.00",Facebook,Media Placement,State,2016-10-19,"$340,057.00"
Oppose,"Clinton, Hillary Rodham","$30,000.00","Google, Inc.",Ads,Presidential,2016-09-30,"$77,241.62"
Support,"Trump, Donald J.","$29,400.00",Facebook,Online advertising through 11/8 - estimate,Presidential,,$0.00
Support,"Faso, John J. Mr.","$28,700.00",Google,IE-Faso-Online Ads-Estimated,State,2016-10-31,"$58,700.00"
Oppose,"Trump, Donald","$28,000.00",Facebook,Digital/online ad,Presidential,2016-09-15,"$53,000.00"
Support,"Cruz, Rafael 'Ted'","$27,824.48",Facebook,Digital Media Production/Placement - MISSOURI,Presidential,2016-03-14,"$1,567,462.88"
Support,"Cruz, Rafael 'Ted'","$26,541.87",Facebook,Digital Media Production/Placement - ILLINOIS,Presidential,2016-03-14,"$1,525,627.21"
Support,"Cruz, Rafael 'Ted'","$25,336.65",Facebook,Digital Media Production/Placement - NORTH CAROLINA,Presidential,2016-03-14,"$1,487,402.23"
Support,"Blunt, Roy","$25,000.00",Facebook,Estimate of Facebook ad purchase,State,2016-10-27,"$25,000.00"
Support,"Cruz, Rafael 'Ted'","$24,411.41",Facebook,Digital Media Production/Placement - MISSOURI,Presidential,2016-03-15,"$1,663,446.11"
Oppose,"Clinton, Hillary","$24,000.00",Facebook,Web Advertising,Presidential,2016-10-20,"$44,000.00"
Support,"Cruz, Rafael 'Ted'","$22,932.65",Facebook,Digital Media Production/Placement - KANSAS,Presidential,2016-03-05,"$1,141,376.83"
Support,"Cruz, Rafael 'Ted'","$22,289.33",Facebook,Digital Media Production/Placement  - TEXAS,Presidential,2016-02-29,"$711,423.40"
Support,"Cruz, Rafael 'Ted'","$20,966.87",Facebook,Digital Media Production/Placement - GEORGIA,Presidential,2016-03-01,"$985,258.44"
Oppose,"Trump, Donald","$20,955.04",Google Inc./Google AdWords,Kids Online Ad Placement (actual not estimated),Presidential,2016-03-05,"$356,632.32"
Oppose,"Trump, Donald","$20,955.04",Google Inc./Google AdWords,Kids Online Ad Placement (final total not estimated),Presidential,2016-03-05,"$345,699.56"
Support,"Cruz, Rafael 'Ted'","$20,822.24",Facebook,Digital Media Production/Placement - TEXAS,Presidential,2016-03-01,"$848,339.29"
Oppose,"Trump, Donald J.","$20,737.46",Facebook,Advertising,Presidential,2016-10-06,"$35,228.90"
Support,"Clinton, Hillary Rodham","$20,000.00","Google, Inc.",Online Advertising,Presidential,2016-10-27,"$134,293.94"
Oppose,"Trump, Donald J.","$20,000.00","Google, Inc.",Online Advertising,Presidential,2016-10-27,"$114,293.94"
Support,"Ayotte, Kelly A","$20,000.00",Google,IE-Ayotte-Online Ads-Estimated,State,2016-09-27,"$20,000.00"
Support,"Ayotte, Kelly A","$20,000.00",Google,IE-Ayotte-Online Ads-Estimated,State,2016-09-27,"$20,000.00"
Support,"Cruz, Rafael 'Ted'","$19,898.18",Facebook,Digital Media Production/Placement,Presidential,2016-01-31,"$473,197.48"
Support,"Cruz, Ted","$19,485.79",Facebook,Digital Media Production/Placement,Presidential,2016-01-28,"$410,951.45"
Support,"Cruz, Rafael 'Ted'","$19,404.16",Facebook,Digital Media Production/Placement - KENTUCKY,Presidential,2016-03-04,"$1,084,605.95"
Support,"Cruz, Rafael 'Ted'","$17,398.21",Facebook,Digital Media Production/Placement - ILLINOIS,Presidential,2016-03-15,"$1,632,077.42"
Support,"Cruz, Rafael 'Ted'","$17,046.32",Facebook,Digital Media Production/Placement,Presidential,2016-01-30,"$448,524.60"
Oppose,"Trump, Donald J.","$16,867.42",Facebook,Digital Ads,Presidential,2016-10-07,"$53,010.83"
Support,"Cruz, Rafael 'Ted'","$16,536.87",Facebook,Digital Media Production/Placement,Presidential,2016-02-01,"$493,911.29"
Support,"Cruz, Rafael 'Ted'","$16,033.37",Facebook,Digital Media Placement/Production - TEXAS,Presidential,2016-02-28,"$624,794.64"
Support,"Cruz, Rafael 'Ted'","$15,839.62",Facebook,Digital Media Production/Placement - ILLINOIS,Presidential,2016-03-12,"$1,437,274.07"
Support,"Cruz, Rafael 'Ted'","$15,678.41",Facebook,Digital Media Production/Placement - MISSOURI,Presidential,2016-03-11,"$1,344,654.62"
Support,"Cruz, Rafael 'Ted'","$15,622.23",Facebook,Digital Media Production/Placement - ILLINOIS,Presidential,2016-03-11,"$1,324,590.61"
Support,"Cruz, Rafael 'Ted'","$15,555.25",Facebook,Digital Media Production/Placement - LOUISIANA,Presidential,2015-03-05,"$1,164,746.78"
Support,"Cruz, Rafael 'Ted'","$15,544.86",Facebook,Digital Media Production/Placement - MISSOURI,Presidential,2016-03-12,"$1,456,823.53"
Oppose,"Clinton, Hillary Rodham","$15,000.00","Google, Inc.",FL Ads,Presidential,2016-09-30,"$42,241.62"
Oppose,"Murphy, Patrick E","$15,000.00","Google, Inc.",FL Ads,State,2016-09-30,"$20,000.00"
Oppose,"Trump, Donald J.","$14,361.70",Facebook,Digital ad placement,Presidential,2016-10-09,"$67,372.53"
Support,"Grayson, Alan Mark","$14,321.09",Google,Web Ads,State,2016-08-06,"$14,321.09"
Support,"Cruz, Rafael 'Ted'","$14,011.19",Google,Digital Media Production/Placement - ILLINOIS,Presidential,2016-03-14,"$1,539,638.40"
Support,"Cruz, Rafael 'Ted'","$13,228.00",Facebook,Digital Media Production/Placement - NORTH CAROLINA,Presidential,2016-03-10,"$1,283,265.19"
Oppose,"Clinton, Hillary Rodham","$13,027.00",Facebook,Ads,Presidential,2016-10-24,"$203,172.94"
Oppose,"Ross, Deborah K","$13,027.00",Facebook,Ads,State,2016-10-24,"$86,268.17"
Support,"Cruz, Rafael 'Ted'","$12,745.10",Google,Digital Media Production/Placement - TEXAS,Presidential,2016-03-01,"$861,084.39"
Support,"Cruz, Rafael 'Ted'","$12,636.55",Facebook,Digital Media Production/Placement - NORTH CAROLINA,Presidential,2016-03-12,"$1,417,423.42"
Support,"Cruz, Rafael 'Ted'","$12,604.26",Facebook,Digital Media Production/Placement - NORTH CAROLINA,Presidential,2016-03-11,"$1,304,621.45"
Support,"Cruz, Rafael 'Ted'","$12,385.55",Facebook,Digital Media Production/Placement,Presidential,2016-01-29,"$427,435.20"
Support,"Cruz, Ted","$12,282.40",Facebook,Digital Media Production/Placement,Presidential,2016-01-27,"$386,731.75"
Support,"Cruz, Rafael 'Ted'","$11,811.40",Facebook,Digital Media Production/Placement,Presidential,2016-02-19,"$538,589.24"
Support,"Cruz, Rafael 'Ted'","$11,787.90",Google,Digital Media Production/Placement - MISSOURI,Presidential,2016-03-14,"$1,579,250.78"
Support,"Cruz, Rafael 'Ted'","$11,683.11",Google,Digital Media Production/Placement - NORTH CAROLINA,Presidential,2016-03-14,"$1,499,085.34"
Support,"Cruz, Rafael 'Ted'","$11,654.92",Facebook,Digital Media Production/Placement - KANSAS,Presidential,2016-03-04,"$1,055,619.25"
Support,"Cruz, Rafael 'Ted'","$11,443.82",Facebook,Digital Media Production/Placement - ARIZONA,Presidential,2016-03-20,"$2,288,382.34"
Support,"Cruz, Rafael 'Ted'","$11,262.52",Facebook,Digital Media Production/Placement - OHIO,Presidential,2016-03-15,"$1,681,930.16"
Support,"Cruz, Rafael 'Ted'","$11,177.80",Facebook,Digital Media Production/Placement - GEORGIA,Presidential,2016-02-29,"$808,549.63"
Oppose,"Clinton, Hillary Rodham","$11,000.00",Facebook,Web Advertising,Presidential,2016-11-03,"$11,500.00"
Support,"Cruz, Ted","$10,895.42",Facebook,Digital Media Production/Placement,Presidential,2016-01-25,"$205,839.40"
Support,"Cruz, Rafael 'Ted'","$10,801.80",Google,Digital Media Production/Placement - OHIO,Presidential,2016-03-14,"$1,595,052.58"
Support,"Cruz, Rafael 'Ted'","$10,753.65",Facebook,Digital Media Production/Placement - NORTH CAROLINA,Presidential,2016-03-15,"$1,605,806.23"
Support,"Cruz, Ted","$10,477.96",Facebook,Digital Media Production/Placement,Presidential,2016-01-24,"$191,488.59"
